Website	Category	Rank Change	Avg. Visit Duration	Pages / Visit	Bounce Rate	Fetched From
bilibili.com	Arts & Entertainment > Animation and Comics	=	00:22:08	14.43	12.83%	arts and entertainment
anitaku.pe	Arts & Entertainment > Animation and Comics	=	00:12:12	3.84	39.05%	arts and entertainment
aniwave.to	Arts & Entertainment > Animation and Comics	1	00:11:14	4.24	38.87%	arts and entertainment
cmoa.jp	Arts & Entertainment > Animation and Comics	1	00:13:14	13.4	32.57%	arts and entertainment
mechacomic.jp	Arts & Entertainment > Animation and Comics	1	00:14:37	11.92	28.05%	arts and entertainment
animeflv.net	Arts & Entertainment > Animation and Comics	2	00:12:24	4.22	39.09%	arts and entertainment
jut.su	Arts & Entertainment > Animation and Comics	2	00:19:52	3.75	38.46%	arts and entertainment
spoilerplus.tv	Arts & Entertainment > Animation and Comics	22	00:24:06	13.38	23.21%	arts and entertainment
leerolymp.com	Arts & Entertainment > Animation and Comics	1	00:08:05	4.42	56.61%	arts and entertainment
9animetv.to	Arts & Entertainment > Animation and Comics	1	00:13:11	4.85	35.98%	arts and entertainment
mgdemon.org	Arts & Entertainment > Animation and Comics	=	00:16:40	6.12	29.49%	arts and entertainment
aniwatchtv.to	Arts & Entertainment > Animation and Comics	2	00:11:56	5.08	43.42%	arts and entertainment
chapmanganato.to	Arts & Entertainment > Animation and Comics	3	00:18:39	8	33.16%	arts and entertainment
mgeko.cc	Arts & Entertainment > Animation and Comics	2	00:18:44	8.63	26.08%	arts and entertainment
manhuatop.org	Arts & Entertainment > Animation and Comics	8	00:19:50	10.12	37.01%	arts and entertainment
kingofshojo.com	Arts & Entertainment > Animation and Comics	5	00:19:49	8.09	35.77%	arts and entertainment
mtlarchive.com	Arts & Entertainment > Animation and Comics	4	00:07:50	3.48	49.05%	arts and entertainment
animego.org	Arts & Entertainment > Animation and Comics	7	00:03:43	2.91	49.24%	arts and entertainment
visortmo.com	Arts & Entertainment > Animation and Comics	3	00:15:18	10.14	33.25%	arts and entertainment
jmanga.org	Arts & Entertainment > Animation and Comics	1	00:05:58	5.27	54.01%	arts and entertainment
mangadex.org	Arts & Entertainment > Animation and Comics	4	00:08:15	27.32	29.86%	arts and entertainment
aniworld.to	Arts & Entertainment > Animation and Comics	=	00:18:09	6.36	30.87%	arts and entertainment
mangago.me	Arts & Entertainment > Animation and Comics	5	00:14:41	21.01	23.61%	arts and entertainment
mangafreak.me	Arts & Entertainment > Animation and Comics	=	00:06:34	4.46	43.13%	arts and entertainment
voiranime.com	Arts & Entertainment > Animation and Comics	2	00:17:11	4.77	34.74%	arts and entertainment
mangalib.me	Arts & Entertainment > Animation and Comics	6	00:14:31	21.38	32.68%	arts and entertainment
zoroxtv.to	Arts & Entertainment > Animation and Comics	12	00:09:34	4.17	43.90%	arts and entertainment
freewebnovel.me	Arts & Entertainment > Animation and Comics	=	00:34:41	9.87	29.65%	arts and entertainment
mangaraw.onl	Arts & Entertainment > Animation and Comics	7	00:13:44	8.8	32.56%	arts and entertainment
anime-sama.fr	Arts & Entertainment > Animation and Comics	1	00:05:01	3.04	51.67%	arts and entertainment
piccoma.com	Arts & Entertainment > Animation and Comics	6	00:14:13	15.11	27.01%	arts and entertainment
mangakoma01.net	Arts & Entertainment > Animation and Comics	2	00:08:44	5.73	40.16%	arts and entertainment
toncycling.com	Arts & Entertainment > Animation and Comics	15	00:08:33	4.61	14.96%	arts and entertainment
lightnovelworld.co	Arts & Entertainment > Animation and Comics	3	00:30:48	7.69	31.78%	arts and entertainment
manganato.com	Arts & Entertainment > Animation and Comics	4	00:05:59	3.89	39.79%	arts and entertainment
gogoanime3.co	Arts & Entertainment > Animation and Comics	8	00:12:42	3.74	40.62%	arts and entertainment
hivetoon.com	Arts & Entertainment > Animation and Comics	=	00:06:53	4.1	39.74%	arts and entertainment
klz9.com	Arts & Entertainment > Animation and Comics	6	00:18:43	10.29	20.03%	arts and entertainment
kakuyomu.jp	Arts & Entertainment > Animation and Comics	3	00:19:21	9.83	34.19%	arts and entertainment
